gene,p_model,coef_log_constraint,p_log_constraint,coef_log_pathogenicity,p_log_pathogenicity,coef_pLoF_indicator,p_pLoF_indicator,coef_missense_indicator,p_missense_indicator,coef_constant,p_constant,filename,phenocode,description
LOC101929680,1.972624946409381e-14,-78.94358381527285,2.1411980074914823e-14,2.05734535106197,1.2683358012970991e-14,0.0,,0.0,,-0.6466830821398533,4.467895812855766e-14,3506.unified.tsv.gz,3506,Smoking compared to 10 years previous
PCDHGA1,2.8950651627428717e-08,-23.19758754445961,4.685849955199382e-10,0.1251975786359583,0.0003647975318001,0.0608636163322621,0.827448527871717,0.0415453593560575,0.2106841538569157,0.2000165720185515,5.120156228829848e-07,25542.unified.tsv.gz,25542,Weighted-mean MO in tract acoustic radiation (left)
ABCA1,2.0211431922644867e-40,0.0911357440314217,0.3623529434625732,-0.0988503977716502,6.796491687463816e-31,-0.4659972980505217,1.976317789975369e-15,-0.0390371221247071,3.3838711943314e-07,0.0704178400545695,3.0862535834492498e-18,30690.unified.tsv.gz,30690,Cholesterol
ABCA6,1.2889281834214284e-24,-0.1038052176879822,0.3494019792306522,0.0558202355369225,1.2558228348141036e-15,0.1255444271306465,0.000346502379395,0.0513906434452851,2.0669933154496165e-07,-0.0329875109452548,0.0004330159544136,30690.unified.tsv.gz,30690,Cholesterol
ABCG5,1.3551262036702565e-07,-0.567647127518684,0.112549202656068,0.0633120769308801,2.695642748200299e-05,0.2346679412367131,7.760985455523565e-06,0.0355465638882095,0.0848407065247943,0.0326960944905294,0.113098882705984,30690.unified.tsv.gz,30690,Cholesterol
ANGPTL3,2.510522562923077e-30,0.0552833670581882,0.8000324281897393,-0.3138678490312821,1.2789583885696825e-10,-0.5091222864978735,4.863896675599567e-22,-0.1572196732700358,1.875655864128497e-05,0.2100693518451067,2.194591195160536e-06,30690.unified.tsv.gz,30690,Cholesterol
APOB,1.7951768213628787e-104,0.3359551393095765,0.0210421358861465,-0.0735028221928148,5.245972693726695e-24,-0.8484493700897262,2.1629630209125204e-85,-0.0250494503927165,0.00111862348452,0.0152084901431196,0.0710001818072398,30690.unified.tsv.gz,30690,Cholesterol
APOH,9.455952232210512e-07,-0.3502422333646631,0.3610517016376309,0.0135369707870131,5.657117980926261e-07,0.0437525711371561,0.5514808818317567,0.0189497905738189,0.0641962571944347,-0.01773974097184,0.0781321477477422,30690.unified.tsv.gz,30690,Cholesterol
ASGR1,1.208499476185307e-07,0.0108242734557186,0.9694397155725176,-0.0585300589092471,2.9419714990166717e-05,-0.2879874074357491,5.933112022979489e-05,-0.0646487044417818,0.0086830787374119,0.0395277880543566,0.0279687428463749,30690.unified.tsv.gz,30690,Cholesterol
BCAM,1.3188795093111044e-17,1.8639398224067247,0.0006804248196868,0.136381651315949,0.0057034171552984,-0.0495739144649818,0.6031949652520434,-0.0031029128151875,0.9212148253228972,-0.1003218819512763,0.0070989623513134,30690.unified.tsv.gz,30690,Cholesterol
